review_text,processed_text,predictions
@ArthurianWitch @aslesnah @mikha5454 @kegblgnunfaedh Dasar Morgan tolol program nya itu gak salah yg salah itu pihak catering nya tolol dari dulu kan emg udah ada pajak bego tapi ada makan siang gratis gak? Enggak kan gini amat debat sama monyet emang bener ya Twitter sarangnya anak abah GOBLOKK!!!,dasar morgan tolol program nya itu tidak salah yang salah itu pihak catering nya tolol dari dulu kan memang sudah ada pajak bego tapi ada makan siang gratis tidak tidak kan begini amat debat sama monyet memang benar iya twitter sarang anak abah goblokk,Negatif
Kapolda Sulawesi Selatan Irjen Pol. Yudhiawan bersama Pj Gubernur Sulsel Prof. Fadjry Djufry dan jajaran Forkopimda melaksanakan pemantauan langsung program pemberian makan siang bergizi gratis di SMAN 9 Jeneponto Selasa (21/01/25). #PolriDukungKetahananPangan https://t.co/Zk4EAqzQOi,kapolda sulawesi selatan irjen pol yudhiawan sama pj gubernur sulsel prof fadjry djufry dan jajar forkopimda laksana pantau langsung program beri makan siang gizi gratis di sman jeneponto selasa,Positif
@dipsiutomo @kegblgnunfaedh Kalo dilihat dari pernyataan ini berarti program makan siang gratis belum tepat sasaran,kalau lihat dari nyata ini arti program makan siang gratis belum tepat sasar,Negatif
@KangManto123 Sekarang berkurang sedikit uang buat makan siang bisa didelete kan karena ada program Makan Bergizi Gratis bu? ,sekarang kurang sedikit uang buat makan siang bisa didelete kan karena ada program makan gizi gratis bu,Negatif
@thewrmal Mana bobonya dari abis maghrib makin-makin dah. Makanan beratnya kebetulan makan siang gratis program pemerintah Iyeyel. AU apatuh tadi liat kamu sekilas qrt Iyeyel.,mana bobonya dari habis maghrib makin makin sudah makan berat betul makan siang gratis program perintah iyeyel au apatuh tadi lihat kamu kilas qrt iyeyel,Positif
@RevkyRommy @RenjerHijau @dipsiutomo @kegblgnunfaedh Beda donk bang program makan siang gratis itukan programnya pemerintah di mana anggarannya dari pajak rakyat ya termasuk orang tua siswa bukan dijamu pake uang pribadi pejabat negara,beda donk bang program makan siang gratis itu program perintah di mana anggar dari pajak rakyat iya masuk orang tua siswa bukan jamu pakai uang pribadi jabat negara,Negatif
@democrazymedia Program Laut Gratis ternyata dilanjut dengan Program Makan Siang Gratis untuk menutupi borok Mulyono.,program laut gratis nyata lanjut dengan program makan siang gratis untuk tutup borok mulyono,Positif
@Mata_Netizen62 @__AnakKolong @Anak__Ogi @AntoniusCDN @ch_chotimah2 @Cintada16 @FirzaHusain @horsi @HumorJonTampan @Hendartomsa0220 @jawafess Makan bergizi gratis program tipuan hasil janji pemilu yang penting terealisasi gizinya dimana juga gak jelas asal kerahkan peternakan buzer buat memuji-muji sudah beres ponakan saya untungnya dekat rumah makan siang pulang dirumah masakan aseli masih hangat gizinya jelas,netizen anakkolong ogi chotimah makan gizi gratis program tipu hasil janji pilih umum yang penting realisasi gizi mana juga tidak jelas asal kerah terna buzer buat puji muji sudah beres ponakan saya untung dekat rumah makan siang pulang rumah masakan aseli masih hangat gizi jelas,Positif
@DokterTifa Udah gw bilang gajelas ini program.. aneh njir. Bukannya bikin program yg memperbaiki sistem malah bikin rakyat kaya fakir miskin. Kocak. Lebih kocak lagi makan siang gratis ini disuruh ikhlas dan bersyukur awoakwoak makan noh PMBG tai,sudah saya bilang gajelas ini program aneh njir bukan bikin program yang baik sistem bahkan bikin rakyat kaya fakir miskin kocak lebih kocak lagi makan siang gratis ini suruh ikhlas dan syukur awoakwoak makan noh pmbg tai,Negatif
@prabowo Udah 100 hari yg ada hanya: 1. Program makan siang gratis 2. Melakukan pendekatan sama Xi Ping dan masuk BRIC 3. Intrik intrik politik untuk pemilihan kepala daerah. 4. Majakin rakyat. Jangka panjang yg tidak jelas jangka pendek mana?,sudah hari yang ada hanya program makan siang gratis laku dekat sama xi ping dan masuk bric intrik intrik politik untuk pilih kepala daerah majakin rakyat jangka panjang yang tidak jelas jangka pendek mana,Negatif
@tanyarlfes Program makan siang gratis gak mempertimbangkan waluh kukus sebagai side dish kah?,program makan siang gratis tidak timbang waluh kukus bagai side dish kah,Positif
@Leosanzz_ @Regie_JKT48 @ManUtd_ID barca butuh program makan siang gratis pak prabowo gak?, jkt id barca butuh program makan siang gratis pak prabowo tidak,Negatif
@aslesnah @kegblgnunfaedh Program pemerintah itu statusnya bukan sedekah yg dipaksa buat bersyukur. Itu kewajiban yang bikin program buat ukur parameter keberhasilannya &amp,program perintah itu status bukan sedekah yang paksa buat syukur itu wajib yang bikin program buat ukur parameter hasil amp,Negatif
@dipsiutomo @kegblgnunfaedh Program pemerintah itu statusnya bukan sedekah yg dipaksa buat bersyukur. Itu kewajiban yang bikin program buat ukur parameter keberhasilannya &amp,program perintah itu status bukan sedekah yang paksa buat syukur itu wajib yang bikin program buat ukur parameter hasil amp,Negatif
@mubarock____ @irwndfrry Nah ini. Kritik nya kan membahas rasa makanan bukan jelek jelekin program makan siang gratis. Harusnya pemerintah berbenah untuk bikin kualitas makanan yg layak dan enak bagi anak anak. Gitu loh intinya. Ini si om ded malah melebar kemana mana, nah ini kritik nya kan bahas rasa makan bukan jelek jelekin program makan siang gratis harus perintah benah untuk bikin kualitas makan yang layak dan enak bagi anak anak begitu loh inti ini si om ded bahkan lebar mana mana,Negatif
Pemerintah harusnya berfikir ulang kas negara untuk mitigasi &amp,perintah harus berfikir ulang kas negara untuk mitigasi amp,Negatif
@Chynthia_K Nda papa dik itu bukan kalian yg minta untuk dikasih makan siang gratis tp itu program dari mr.omon omon yg dipaksakan,k tidak apa apa dik itu bukan kalian yang minta untuk kasih makan siang gratis tapi itu program dari mr omon omon yang paksa,Negatif
[HOAKS] Menu Program Makan Siang Gratis Busuk dan Basi https://t.co/aRvjufmoUr,hoaks menu program makan siang gratis busuk dan basi,Positif
@tanyakanrl mmf jd keinget statement: mau dikasih program satu keluarga satu sarjana malah pilih makan siang gratis ,mmf jadi keinget statement mau kasih program satu keluarga satu sarjana bahkan pilih makan siang gratis,Positif
@kegblgnunfaedh Ini kakek kakek asbun nya kek program makan siang gratis,ini kakek kakek asal bunyi nya seperti program makan siang gratis,Positif
@mediaindonesia kan ada program makan siang gratis ,kan ada program makan siang gratis,Negatif
@rankasthetic Makan siang gratis program dari mama ya Ranka? Saya sudah makan siang juga kok aman.,makan siang gratis program dari mama iya ranka saya sudah makan siang juga kok aman,Negatif
@lebamttelak @tanyakanrl Hehe maka dari itulah karena orang Jawa mayoritas ada program makan siang gratis ,he maka dari itu karena orang jawa mayoritas ada program makan siang gratis,Negatif
@Maudy_Apain @ziyyaze @LexWu_13 Tapi kenapa gak tau kalau program makan siang gratis sudah menyentuh pelosok Indonesia dimana pun? ,apain  tapi kenapa tidak tahu kalau program makan siang gratis sudah sentuh pelosok indonesia mana pun,Negatif
